SI.,Product Name,Item Code,UOM,Purchase UOM,Product Category,Origin Rule,Unit Cost,Unnamed: 8
291,40MM FLANGES,FL-40MM-X193,MTR,Length (5 MTR),Accessory ,,3.83,
292,"10"" RING",RING-10-X194,NOS,NOS,Accessory,,2.54,
293,C PATTI SHEET,C-PATTI-SHEET-X195,NOS,NOS,Accessory,,0.9,
294,1.00MM JSW COIL (Z275),JSW-1.00MM-X196,KG,TON,Raw-Material,INDIA,3.81,
295,40MM G CLAMPS,GC-40MM-X197,NOS,BOX (200 NOS),Accessory ,,0.28,
296,CARBON PLAIN,CARBON-PLAIN-X198,NOS,NOS,Consumable,,4.92,
297,DRILL BIT 10 MM,DRILL-10MM-X199,NOS,NOS,Consumable,,5.91,
298,RSA ANGLE 40X40X5MM THK (6M/LEN),RSA-ANGLE-40x40x5-X200,NOS,Length (6 MTR),Raw-Material,,47.56,
299,ANGLE 35/35 / 3 THICK,ANGLE-35x35-3-X201,NOS,Length (5 MTR),Accessory,,33.37,
300,TIE ROD CONNECTOR 10 MM,TR-CON-10MM-X202,NOS,NOS,Accessory,,0.45,
301,0.70MM JSW COIL (Z275),JSW-0.70MM-X203,KG,TON,Raw-Material,INDIA,3.84,
302,RETAINING CAP (PLASMA MACHINE),RETAIN-CAP-PLASMA-X204,NOS,NOS,Consumable,,142.62,
303,CARBON 203,CARBON-203-X205,NOS,NOS,Consumable,,11.91,
304,ELECTRODE PLASMA,ELECTRODE-P-X206,NOS,NOS,Consumable,,8.88,
305,VCD 350X200 S&C,VCD-350x200-X207,NOS,NOS,Accessory,,31.7,
306,STANLEY CUTTER,STANLEY-CUTTER-X208,NOS,NOS,Tool,,35.49,
307,ANGLE 50/50 / 4MM THICK,ANGLE-50x50-4-X209,NOS,Length (5 MTR),Accessory,,62.21,
308,CARBON PLAIN,CARBON-PLAIN-X210,NOS,NOS,Consumable,,4.97,
309,CARBON 153,CARBON-153-X211,NOS,NOS,Consumable,,9.98,
310,ANGLE 50/50 / 4MM THICK,ANGLE-50x50-4-X212,NOS,Length (5 MTR),Accessory,,60.6,
311,0.55MM AGIS COIL (Z275),AGIS-0.55MM-X213,KG,TON ,Raw-Material,UAE,3.21,
312,EARPLUG,EARPLUG-X214,NOS,NOS,SAFETY-ITEM,,0.6,
313,30MM FLANGES,FL-30MM-X215,MTR,Length (5 MTR),Accessory ,,2.26,
314,40MM FLANGES,FL-40MM-X216,MTR,Length (5 MTR),Accessory ,,3.76,
315,"BRUSH 1""",BRUSH-1-X217,NOS,NOS,Consumable,,1.77,
316,SWIRL RING,SWIRL-RING-X218,NOS,NOS,Consumable,,121,
317,CARBON 203,CARBON-203-X219,NOS,NOS,Consumable,,11.97,
318,30MM FLANGES,FL-30MM-X220,MTR,Length (5 MTR),Accessory ,,2.28,
319,30MM FLANGES,FL-30MM-X221,MTR,Length (5 MTR),Accessory ,,2.23,
320,HAND GLOVES,CONS-HAND-GLOVES-X222,DZN,DZN,SAFETY-ITEM,,12.75,
321,THINNER,THINNER-X223,LITER,LITER,Consumable,,8.7,
322,"1"" DIA GI PIPE",GI-PIPE-1-X224,NOS,NOS,Raw-Material,,81.55,
323,VCD 350X200 S&C,VCD-350x200-X225,NOS,NOS,Accessory,,31.96,
324,RSA ANGLE 40X40X5MM THK (6M/LEN),RSA-ANGLE-40x40x5-X226,NOS,Length (6 MTR),Raw-Material,,48.87,
325,20MM FLANGES,FL-20MM-X227,MTR,Length (5 MTR),Accessory ,,1.37,
326,1.10MM AGIS COIL (Z275),AGIS-1.10MM-X228,KG,TON,Raw-Material,UAE,3.06,
327,30MM FLANGES,FL-30MM-X229,MTR,Length (5 MTR),Accessory ,,2.23,
328,ANGLE 25/25 / 2.5MM,ANGLE-25x25-2.5-X230,NOS,Length (5 MTR),Accessory,,25.9,
329,TIE ROD CONNECTOR 10 MM,TR-CON-10MM-X231,NOS,NOS,Accessory,,0.46,
330,WOODEN HAMMER,HAMMER-WOOD-X232,NOS,NOS,Tool,,11.21,
331,ELECTRODE PLASMA,ELECTRODE-P-X233,NOS,NOS,Consumable,,9,
332,"10"" RING",RING-10-X234,NOS,NOS,Accessory,,2.52,
333,ELECTRODE PLASMA,ELECTRODE-P-X235,NOS,NOS,Consumable,,9.05,
334,"6"" RING",RING-6-X236,NOS,NOS,Accessory,,1.98,
335,"BRUSH 2""",BRUSH-2-X237,NOS,NOS,Consumable,,1.97,
336,"FLEXIBLE DUCT 6"" (7.5MTR/BX)",FLEX-DUCT-6-X238,BX,BX,Accessory,,26.06,
337,"BRUSH 1""",BRUSH-1-X239,NOS,NOS,Consumable,,1.82,
338,0.90MM AGIS COIL (Z275),AGIS-0.90MM-X240,KG,TON,Raw-Material,UAE,3.13,
339,DRILL BIT 3.5 MM,DRILL-3.5MM-X241,NOS,NOS,Consumable,,2.53,
340,0.70MM JSW COIL (Z275),JSW-0.70MM-X242,KG,TON,Raw-Material,INDIA,3.92,
341,"5"" RING",RING-5-X243,NOS,NOS,Accessory,,1.52,
342,RSA ANGLE 50X50X5MM THK (6M/LEN),RSA-ANGLE-50x50x5-X244,NOS,Length (6 MTR),Raw-Material,,57.09,
343,"10"" RING",RING-10-X245,NOS,NOS,Accessory,,2.47,
344,REDOXIDE 18 LTR,CONS-REDOXIDE-18L-X246,LITER,18 LITRE,Consumable,,7.52,
345,C CLEATS,C-CLEATS-X247,MTR,Length (1.2 MTR),Accessory ,,1.47,x
346,0.80MM AGIS COIL (Z275),AGIS-0.80MM-X248,KG,TON,Raw-Material,UAE,3.05,
347,RSA ANGLE 40X40X5MM THK (6M/LEN),RSA-ANGLE-40x40x5-X249,NOS,Length (6 MTR),Raw-Material,,47.58,
348,COPPER (SPOT WELDING TIP),COPPER-WELD-TIP-X250,PCS,PCS,Consumable,,29.87,
349,CARBON 203,CARBON-203-X251,NOS,NOS,Consumable,,12,
350,"10"" RING",RING-10-X252,NOS,NOS,Accessory,,2.53,
351,SHEILD (PLASMA MACHINE),SHIELD-PLASMA-X253,NOS,NOS,Consumable,,76.17,
352,VCD 300X200 S&C,VCD-300x200-X254,NOS,NOS,Accessory,,30.39,
353,40MM FLANGES,FL-40MM-X255,MTR,Length (5 MTR),Accessory ,,3.8,
354,1.20MM AGIS COIL (Z275),AGIS-1.20MM-X256,KG,TON,Raw-Material,UAE,3.03,
355,CARBON 203,CARBON-203-X257,NOS,NOS,Consumable,,12.15,
356,DRILL BIT 4 MM,DRILL-4MM-X258,NOS,NOS,Consumable,,2.47,
357,1.10MM AGIS COIL (Z275),AGIS-1.10MM-X259,KG,TON,Raw-Material,UAE,3.15,
358,WOODEN HAMMER,HAMMER-WOOD-X260,NOS,NOS,Tool,,11.08,
359,"4"" RING",RING-4-X261,NOS,NOS,Accessory,,1.37,
360,1.10MM AGIS COIL (Z275),AGIS-1.10MM-X262,KG,TON,Raw-Material,UAE,3.06,
361,1.20MM AGIS COIL (Z275),AGIS-1.20MM-X263,KG,TON,Raw-Material,UAE,3.02,
362,VCD 350X200 S&C,VCD-350x200-X264,NOS,NOS,Accessory,,31.94,
363,GI ACCESS DOOR HANDLE,GI-DOOR-HANDLE-X265,NOS,NOS,Accessory,,0.44,
364,ANGLE 50/50 / 4MM THICK,ANGLE-50x50-4-X266,NOS,Length (5 MTR),Accessory,,59.88,
365,"CUTTER WHEEL 14""",CUTTER-14-X267,NOS,NOS,Consumable,,10.93,
366,WELDING ROD 4MM,WELD-4MM-X268,BOX,BOX,Consumable,,40.4,
367,EARPLUG,EARPLUG-X269,NOS,NOS,SAFETY-ITEM,,0.61,
368,"GI ROUND VCD - 4""",VCD-GI-4-X270,NOS,NOS,Accessory,,9.89,
369,20MM FLANGES,FL-20MM-X271,MTR,Length (5 MTR),Accessory ,,1.41,
370,C CLEATS,C-CLEATS-X272,MTR,Length (1.2 MTR),Accessory ,,1.45,x
371,HAND GLOVES,CONS-HAND-GLOVES-X273,DZN,DZN,SAFETY-ITEM,,12.78,
372,FUSE,FUSE-X274,NOS,NOS,Consumable,,1.01,
373,HAMMER 200,HAMMER-200-X275,NOS,NOS,Tool,,14.74,
374,GALVANIZED ANGLE 40/40,ANGLE-40x40-X276,NOS,Length (5 MTR),Accessory,,64.19,
375,0.60MM JSW COIL (Z275),JSW-0.60MM-X277,KG,TON,Raw-Material,INDIA,3.82,
376,NOZZLE LASER,NOZZLE-L-X278,NOS,NOS,Consumable,,8.87,
377,VCD 400X200 S&C,VCD-400x200-X279,NOS,NOS,Accessory,,34.37,
378,WELDING ROD 2.6MM GREEN,WELD-2.6MM-X280,BOX,BOX,Consumable,,47.85,
379,20MM JOINT CLEAT,JC-20MM-X281,MTR,Length (2 MTR),Accessory ,,1.57,
380,0.80MM AGIS COIL (Z275),AGIS-0.80MM-X282,KG,TON,Raw-Material,UAE,3.1,
381,WOODEN HAMMER,HAMMER-WOOD-X283,NOS,NOS,Tool,,10.78,
382,CARBON 325,CARBON-325-X284,NOS,NOS,Consumable,,9.87,
383,30MM FLANGES,FL-30MM-X285,MTR,Length (5 MTR),Accessory ,,2.2,
384,20MM FLANGES,FL-20MM-X286,MTR,Length (5 MTR),Accessory ,,1.37,
385,GI BOLT 10 MM,GI-BOLT-10MM-X287,KG,KG,Accessory,,6.94,
386,0.55MM AGIS COIL (Z275),AGIS-0.55MM-X288,KG,TON ,Raw-Material,UAE,3.17,
387,"5"" RING",RING-5-X289,NOS,NOS,Accessory,,1.57,
388,DRILL BIT 10 MM,DRILL-10MM-X290,NOS,NOS,Consumable,,6.04,
389,ELECTRODE PLASMA,ELECTRODE-P-X291,NOS,NOS,Consumable,,8.98,
390,40MM G CLAMPS,GC-40MM-X292,NOS,BOX (200 NOS),Accessory ,,0.28,
391,1.10MM AGIS COIL (Z275),AGIS-1.10MM-X293,KG,TON,Raw-Material,UAE,3.11,
392,GI BOLT 10 MM,GI-BOLT-10MM-X294,KG,KG,Accessory,,7.05,
393,SHEILD (PLASMA MACHINE),SHIELD-PLASMA-X295,NOS,NOS,Consumable,,76.85,
394,40MM FLANGES,FL-40MM-X296,MTR,Length (5 MTR),Accessory ,,3.78,
395,1.20MM AGIS COIL (Z275),AGIS-1.20MM-X297,KG,TON,Raw-Material,UAE,3.02,
396,0.70MM JSW COIL (Z275),JSW-0.70MM-X298,KG,TON,Raw-Material,INDIA,3.91,
397,THINNER,THINNER-X299,LITER,LITER,Consumable,,8.57,
398,"CUTTER WHEEL 14""",CUTTER-14-X300,NOS,NOS,Consumable,,10.97,
399,0.70MM JSW COIL (Z275),JSW-0.70MM-X301,KG,TON,Raw-Material,INDIA,3.82,
400,"FLEXIBLE DUCT 6"" (7.5MTR/BX)",FLEX-DUCT-6-X302,BX,BX,Accessory,,26.06,
401,C PATTI SHEET,C-PATTI-SHEET-X303,NOS,NOS,Accessory,,0.9,
402,DRILL BIT 4 MM,DRILL-4MM-X304,NOS,NOS,Consumable,,2.49,
403,DRILL BIT 3.5 MM,DRILL-3.5MM-X305,NOS,NOS,Consumable,,2.49,
404,ALUM SPRAY PAINT,CONS-PAINT-AL-X306,NOS,NOS,Consumable,,5.01,
405,HAMMER 200,HAMMER-200-X307,NOS,NOS,Tool,,14.93,
406,0.80MM JSW COIL (Z275),JSW-0.80MM-X308,KG,TON,Raw-Material,INDIA,3.89,
407,VCD 300X200 S&C,VCD-300x200-X309,NOS,NOS,Accessory,,29.58,
408,1.00MM AGIS COIL (Z275),AGIS-1.00MM-X310,KG,TON,Raw-Material,UAE,3.13,
409,"GI ROUND VCD - 4""",VCD-GI-4-X311,NOS,NOS,Accessory,,9.88,
410,FIRE RATED GASKET,GASKET-FR-X312,NOS,NOS,Accessory,,45.78,
411,THINNER,THINNER-X313,LITER,LITER,Consumable,,8.58,
412,"GRINDING WHEEL 4.5""",GRIND-4.5-X314,NOS,NOS,Consumable,,0.99,
413,SHEILD (PLASMA MACHINE),SHIELD-PLASMA-X315,NOS,NOS,Consumable,,77.42,
414,CARBON 51,CARBON-51-X316,NOS,NOS,Consumable,,4.91,
415,WELDING ROD 3.2MM,WELD-3.2MM-X317,BOX,BOX,Consumable,,45.86,
416,"CUTTER WHEEL 14""",CUTTER-14-X318,NOS,NOS,Consumable,,11.19,
417,"6"" RING",RING-6-X319,NOS,NOS,Accessory,,1.96,
418,"CUTTER WHEEL 14""",CUTTER-14-X320,NOS,NOS,Consumable,,11.03,
419,0.60MM AGIS COIL (Z275),AGIS-0.60MM-X321,KG,TON,Raw-Material,UAE,3.2,
420,0.55MM JSW COIL (Z275),JSW-0.55MM-X322,KG,TON ,Raw-Material,INDIA,3.79,
421,GI BOLT 10 MM,GI-BOLT-10MM-X323,KG,KG,Accessory,,6.89,
422,1.20MM AGIS COIL (Z275),AGIS-1.20MM-X324,KG,TON,Raw-Material,UAE,3.07,
423,30MM JOINT CLEAT,JC-30MM-X325,MTR,Length (2 MTR),Accessory ,,1.58,
424,20MM JOINT CLEAT,JC-20MM-X326,MTR,Length (2 MTR),Accessory ,,1.55,
425,"4"" RING",RING-4-X327,NOS,NOS,Accessory,,1.32,
426,0.90MM AGIS COIL (Z275),AGIS-0.90MM-X328,KG,TON,Raw-Material,UAE,3.14,
427,"CUTTER WHEEL 14""",CUTTER-14-X329,NOS,NOS,Consumable,,11.15,
428,GI BOLT 10 MM,GI-BOLT-10MM-X330,KG,KG,Accessory,,6.95,
429,MAKITA MACHINE SPARE PARTS,MAKITA-SPARES-X331,SET,SET,Tool,,38.07,
430,CARBON 203,CARBON-203-X332,NOS,NOS,Consumable,,11.83,
431,REDOXIDE 18 LTR,CONS-REDOXIDE-18L-X333,LITER,18 LITRE,Consumable,,7.4,
432,0.56MM JSW COIL (Z275),JSW-0.56MM-X334,KG,TON ,Raw-Material,INDIA,3.88,
433,NOZZLE PLASMA,NOZZLE-P-X335,NOS,NOS,Consumable,,9,
434,DRILL BIT 3.5 MM,DRILL-3.5MM-X336,NOS,NOS,Consumable,,2.51,
435,ANGLE 35/35 / 3 THICK,ANGLE-35x35-3-X337,NOS,Length (5 MTR),Accessory,,33.03,
436,THINNER,THINNER-X338,LITER,LITER,Consumable,,8.77,
437,30MM JOINT CLEAT,JC-30MM-X339,MTR,Length (2 MTR),Accessory ,,1.57,
438,1.00MM JSW COIL (Z275),JSW-1.00MM-X340,KG,TON,Raw-Material,INDIA,3.91,
439,1.00MM JSW COIL (Z275),JSW-1.00MM-X341,KG,TON,Raw-Material,INDIA,3.82,
440,RSA ANGLE 50X50X5MM THK (6M/LEN),RSA-ANGLE-50x50x5-X342,NOS,Length (6 MTR),Raw-Material,,59.11,
441,0.55MM JSW COIL (Z275),JSW-0.55MM-X343,KG,TON ,Raw-Material,INDIA,3.9,
442,NOZZLE PLASMA,NOZZLE-P-X344,NOS,NOS,Consumable,,8.86,
443,RSA ANGLE 40X40X5MM THK (6M/LEN),RSA-ANGLE-40x40x5-X345,NOS,Length (6 MTR),Raw-Material,,47.21,
444,1.10MM JSW COIL (Z275),JSW-1.10MM-X346,KG,TON,Raw-Material,INDIA,3.8,
445,GREASE 1 KG,CONS-GREASE-1KG-X347,KG,KG,Consumable,,14.9,
446,RSA ANGLE 40X40X5MM THK (6M/LEN),RSA-ANGLE-40x40x5-X348,NOS,Length (6 MTR),Raw-Material,,47.46,
447,"5"" RING",RING-5-X349,NOS,NOS,Accessory,,1.52,
448,CARBON 51,CARBON-51-X350,NOS,NOS,Consumable,,4.99,
449,GI BOLT 10 MM,GI-BOLT-10MM-X351,KG,KG,Accessory,,6.93,
450,1.10MM AGIS COIL (Z275),AGIS-1.10MM-X352,KG,TON,Raw-Material,UAE,3.1,
451,20MM CORNER,CR-20MM-X353,NOS,BOX (200 NOS),Accessory ,,0.28,
452,"GRINDING WHEEL 4.5""",GRIND-4.5-X354,NOS,NOS,Consumable,,0.99,
453,GREASE 1 KG,CONS-GREASE-1KG-X355,KG,KG,Consumable,,14.72,
454,PIANO HINGES,HINGE-PIANO-X356,NOS,NOS,Accessory,,20.27,
455,0.90MM AGIS COIL (Z275),AGIS-0.90MM-X357,KG,TON,Raw-Material,UAE,3.1,
456,TIE ROD CONNECTOR 10 MM,TR-CON-10MM-X358,NOS,NOS,Accessory,,0.45,
457,HAND GLOVES,CONS-HAND-GLOVES-X359,DZN,DZN,SAFETY-ITEM,,13.22,
458,NOZZLE PLASMA,NOZZLE-P-X360,NOS,NOS,Consumable,,9.08,
459,VCD 300X200 S&C,VCD-300x200-X361,NOS,NOS,Accessory,,29.91,
460,TIE ROD (NOS) 8 MM,TR-8MM-X362,NOS,1.5MTR,Accessory,,3.48,
461,40MM CORNER,CR-40MM-X363,NOS,BOX (200 NOS),Accessory ,,0.86,
462,DRILL BIT 10 MM,DRILL-10MM-X364,NOS,NOS,Consumable,,5.95,
463,0.70MM JSW COIL (Z275),JSW-0.70MM-X365,KG,TON,Raw-Material,INDIA,3.88,
464,VCD 300X200 S&C,VCD-300x200-X366,NOS,NOS,Accessory,,29.49,
465,TIE ROD (NOS) 8 MM,TR-8MM-X367,NOS,1.5MTR,Accessory,,3.48,
466,ANGLE 25/25 / 2.5MM,ANGLE-25x25-2.5-X368,NOS,Length (5 MTR),Accessory,,26.1,
467,VCD 250X150 S&C,VCD-250x150-X369,NOS,NOS,Accessory,,24.23,
468,CARBON 325,CARBON-325-X370,NOS,NOS,Consumable,,10.1,
469,RSA ANGLE 40X40X5MM THK (6M/LEN),RSA-ANGLE-40x40x5-X371,NOS,Length (6 MTR),Raw-Material,,47.6,
470,CARBON (MITERSAW),CARBON-MITER-X372,NOS,NOS,Consumable,,4.97,
471,FIRE RATED STICKER - MUAYED,STICKER-FR-MUAYED-X373,NOS,NOS,Consumable,,5.92,
472,ELECTRODE PLASMA,ELECTRODE-P-X374,NOS,NOS,Consumable,,9.08,
473,"1"" DIA GI PIPE",GI-PIPE-1-X375,NOS,NOS,Raw-Material,,79.25,
474,"CUTTER WHEEL 14""",CUTTER-14-X376,NOS,NOS,Consumable,,10.99,
475,"4"" RING",RING-4-X377,NOS,NOS,Accessory,,1.37,
476,1.00MM AGIS COIL (Z275),AGIS-1.00MM-X378,KG,TON,Raw-Material,UAE,3.04,
477,0.80MM JSW COIL (Z275),JSW-0.80MM-X379,KG,TON,Raw-Material,INDIA,3.9,
478,VCD 250X150 S&C,VCD-250x150-X380,NOS,NOS,Accessory,,24.23,
479,THINNER,THINNER-X381,LITER,LITER,Consumable,,8.67,
480,CARBON 153,CARBON-153-X382,NOS,NOS,Consumable,,9.96,
481,"4"" RING",RING-4-X383,NOS,NOS,Accessory,,1.36,
482,TIE ROD (NOS) 8 MM,TR-8MM-X384,NOS,1.5MTR,Accessory,,3.56,
483,0.70MM JSW COIL (Z275),JSW-0.70MM-X385,KG,TON,Raw-Material,INDIA,3.79,
484,ELECTRODE PLASMA,ELECTRODE-P-X386,NOS,NOS,Consumable,,8.84,
485,GI NUT 10 MM,GI-NUT-10MM-X387,KG,KG,Accessory,,6.96,
486,REDOXIDE 18 LTR,CONS-REDOXIDE-18L-X388,LITER,18 LITRE,Consumable,,7.38,
487,0.60MM JSW COIL (Z275),JSW-0.60MM-X389,KG,TON,Raw-Material,INDIA,3.91,
488,FIRE RATED GASKET,GASKET-FR-X390,NOS,NOS,Accessory,,45.52,
489,1.00MM JSW COIL (Z275),JSW-1.00MM-X391,KG,TON,Raw-Material,INDIA,3.8,
490,30MM FLANGES,FL-30MM-X392,MTR,Length (5 MTR),Accessory ,,2.23,
491,WOODEN HAMMER,HAMMER-WOOD-X393,NOS,NOS,Tool,,10.96,
492,0.90MM AGIS COIL (Z275),AGIS-0.90MM-X394,KG,TON,Raw-Material,UAE,3.16,
493,"CUTTER WHEEL 14""",CUTTER-14-X395,NOS,NOS,Consumable,,10.92,
494,40MM G CLAMPS,GC-40MM-X396,NOS,BOX (200 NOS),Accessory ,,0.28,
495,TIE ROD CONNECTOR 8 MM,TR-CON-8MM-X397,NOS,NOS,Accessory,,0.45,
496,GI BOLT 10 MM,GI-BOLT-10MM-X398,KG,KG,Accessory,,7.08,
497,EARPLUG,EARPLUG-X399,NOS,NOS,SAFETY-ITEM,,0.61,
498,VCD 300X200 S&C,VCD-300x200-X400,NOS,NOS,Accessory,,30.2,
499,WELDING ROD 2.6MM GREEN,WELD-2.6MM-X401,BOX,BOX,Consumable,,47.74,
500,0.90MM JSW COIL (Z275),JSW-0.90MM-X402,KG,TON,Raw-Material,INDIA,3.81,
501,GALVANIZED ANGLE 40/40,ANGLE-40x40-X403,NOS,Length (5 MTR),Accessory,,62.74,
502,0.80MM JSW COIL (Z275),JSW-0.80MM-X404,KG,TON,Raw-Material,INDIA,3.86,
503,0.70MM JSW COIL (Z275),JSW-0.70MM-X405,KG,TON,Raw-Material,INDIA,3.89,
504,0.56MM AGIS COIL (Z275),AGIS-0.56MM-X406,KG,TON ,Raw-Material,UAE,3.28,
505,CARBON 325,CARBON-325-X407,NOS,NOS,Consumable,,10.15,
506,20MM JOINT CLEAT,JC-20MM-X408,MTR,Length (2 MTR),Accessory ,,1.57,
507,FUSE,FUSE-X409,NOS,NOS,Consumable,,1.02,
508,DRILL BIT 4 MM,DRILL-4MM-X410,NOS,NOS,Consumable,,2.52,
509,TIE ROD (NOS) 10 MM,TR-10MM-X411,NOS,1.5MTR,Accessory,,4.43,
510,1.20MM AGIS COIL (Z275),AGIS-1.20MM-X412,KG,TON,Raw-Material,UAE,3.05,
511,GOOGLES,SAFETY-GOGGLES-X413,NOS,NOS,SAFETY-ITEM,,4.92,
512,30MM JOINT CLEAT,JC-30MM-X414,MTR,Length (2 MTR),Accessory ,,1.56,
513,0.80MM AGIS COIL (Z275),AGIS-0.80MM-X415,KG,TON,Raw-Material,UAE,3.16,
514,0.60MM AGIS COIL (Z275),AGIS-0.60MM-X416,KG,TON,Raw-Material,UAE,3.14,
515,MAKITA MACHINE SPARE PARTS,MAKITA-SPARES-X417,SET,SET,Tool,,37.98,
516,"1"" DIA GI PIPE",GI-PIPE-1-X418,NOS,NOS,Raw-Material,,79.38,
517,0.70MM AGIS COIL (Z275),AGIS-0.70MM-X419,KG,TON,Raw-Material,UAE,3.16,
518,HAND GLOVES,CONS-HAND-GLOVES-X420,DZN,DZN,SAFETY-ITEM,,13.22,
519,RSA ANGLE 50X50X5MM THK (6M/LEN),RSA-ANGLE-50x50x5-X421,NOS,Length (6 MTR),Raw-Material,,57.62,
520,FIRE RATED GASKET,GASKET-FR-X422,NOS,NOS,Accessory,,45.23,
521,ELECTRODE PLASMA,ELECTRODE-P-X423,NOS,NOS,Consumable,,8.97,
522,"1"" DIA GI PIPE",GI-PIPE-1-X424,NOS,NOS,Raw-Material,,81.37,
523,CARBON (MITERSAW),CARBON-MITER-X425,NOS,NOS,Consumable,,4.97,
524,REDOXIDE 18 LTR,CONS-REDOXIDE-18L-X426,LITER,18 LITRE,Consumable,,7.38,
525,ANGLE 35/35 / 3 THICK,ANGLE-35x35-3-X427,NOS,Length (5 MTR),Accessory,,32.89,
526,0.80MM JSW COIL (Z275),JSW-0.80MM-X428,KG,TON,Raw-Material,INDIA,3.84,
527,CARBON 153,CARBON-153-X429,NOS,NOS,Consumable,,10.15,
528,CARBON (MITERSAW),CARBON-MITER-X430,NOS,NOS,Consumable,,4.97,
529,CARBON PLAIN,CARBON-PLAIN-X431,NOS,NOS,Consumable,,4.96,
530,0.56MM JSW COIL (Z275),JSW-0.56MM-X432,KG,TON ,Raw-Material,INDIA,3.84,
531,CARBON 153,CARBON-153-X433,NOS,NOS,Consumable,,10.08,
532,CARBON 153,CARBON-153-X434,NOS,NOS,Consumable,,9.97,
533,REDOXIDE 18 LTR,CONS-REDOXIDE-18L-X435,LITER,18 LITRE,Consumable,,7.51,
534,PIANO HINGES,HINGE-PIANO-X436,NOS,NOS,Accessory,,20.17,
535,ANGLE 50/50 / 4MM THICK,ANGLE-50x50-4-X437,NOS,Length (5 MTR),Accessory,,59.85,
536,WELDING ROD 2.6MM GREEN,WELD-2.6MM-X438,BOX,BOX,Consumable,,47.3,
537,"10"" RING",RING-10-X439,NOS,NOS,Accessory,,2.52,
538,0.70MM AGIS COIL (Z275),AGIS-0.70MM-X440,KG,TON,Raw-Material,UAE,3.23,
539,THINNER,THINNER-X441,LITER,LITER,Consumable,,8.75,
540,CARBON 325,CARBON-325-X442,NOS,NOS,Consumable,,10.08,
541,RSA ANGLE 40X40X5MM THK (6M/LEN),RSA-ANGLE-40x40x5-X443,NOS,Length (6 MTR),Raw-Material,,48.93,
542,30MM JOINT CLEAT,JC-30MM-X444,MTR,Length (2 MTR),Accessory ,,1.57,
543,ANGLE 25/25 / 2.5MM,ANGLE-25x25-2.5-X445,NOS,Length (5 MTR),Accessory,,26.2,
544,CARBON 325,CARBON-325-X446,NOS,NOS,Consumable,,10.06,
545,30MM CORNER,CR-30MM-X447,NOS,BOX (200 NOS),Accessory ,,0.24,
546,"6"" RING",RING-6-X448,NOS,NOS,Accessory,,1.98,
547,40MM CORNER,CR-40MM-X449,NOS,BOX (200 NOS),Accessory ,,0.86,
548,VCD 350X200 S&C,VCD-350x200-X450,NOS,NOS,Accessory,,32.45,
549,VCD 400X200 S&C,VCD-400x200-X451,NOS,NOS,Accessory,,34.12,
550,GI NUT 10 MM,GI-NUT-10MM-X452,KG,KG,Accessory,,6.86,
551,"BRUSH 2""",BRUSH-2-X453,NOS,NOS,Consumable,,1.98,
552,WELDING ROD 4MM,WELD-4MM-X454,BOX,BOX,Consumable,,40.45,
553,ANGLE 50/50 / 4MM THICK,ANGLE-50x50-4-X455,NOS,Length (5 MTR),Accessory,,60.61,
554,0.80MM AGIS COIL (Z275),AGIS-0.80MM-X456,KG,TON,Raw-Material,UAE,3.14,
555,0.56MM AGIS COIL (Z275),AGIS-0.56MM-X457,KG,TON ,Raw-Material,UAE,3.24,
556,NOZZLE PLASMA,NOZZLE-P-X458,NOS,NOS,Consumable,,9.18,
557,1.10MM AGIS COIL (Z275),AGIS-1.10MM-X459,KG,TON,Raw-Material,UAE,3.13,
558,0.90MM AGIS COIL (Z275),AGIS-0.90MM-X460,KG,TON,Raw-Material,UAE,3.05,
559,CARBON (MITERSAW),CARBON-MITER-X461,NOS,NOS,Consumable,,5.07,
560,1.10MM AGIS COIL (Z275),AGIS-1.10MM-X462,KG,TON,Raw-Material,UAE,3.12,
561,HAND GLOVES,CONS-HAND-GLOVES-X463,DZN,DZN,SAFETY-ITEM,,12.85,
562,CARBON 153,CARBON-153-X464,NOS,NOS,Consumable,,10.01,
563,"BRUSH 2""",BRUSH-2-X465,NOS,NOS,Consumable,,1.97,
564,WOODEN HAMMER,HAMMER-WOOD-X466,NOS,NOS,Tool,,10.94,
565,WOODEN HAMMER,HAMMER-WOOD-X467,NOS,NOS,Tool,,11.11,
566,CARBON PLAIN,CARBON-PLAIN-X468,NOS,NOS,Consumable,,4.99,
567,0.60MM JSW COIL (Z275),JSW-0.60MM-X469,KG,TON,Raw-Material,INDIA,3.87,
568,40MM G CLAMPS,GC-40MM-X470,NOS,BOX (200 NOS),Accessory ,,0.28,
569,0.55MM AGIS COIL (Z275),AGIS-0.55MM-X471,KG,TON ,Raw-Material,UAE,3.25,
570,20MM FLANGES,FL-20MM-X472,MTR,Length (5 MTR),Accessory ,,1.37,
571,CARBON 153,CARBON-153-X473,NOS,NOS,Consumable,,9.96,
572,20MM FLANGES,FL-20MM-X474,MTR,Length (5 MTR),Accessory ,,1.38,
573,"CUTTER WHEEL 4.5"" (16DIA)",CUTTER-4.5-X475,NOS,NOS,Consumable,,3,
574,VCD 350X200 S&C,VCD-350x200-X476,NOS,NOS,Accessory,,32.51,
575,GI BOLT 10 MM,GI-BOLT-10MM-X477,KG,KG,Accessory,,6.96,
576,HAMMER 200,HAMMER-200-X478,NOS,NOS,Tool,,15.14,
