SI.,Product Name,Item Code,UOM,Purchase UOM,Product Category,Origin Rule,Purchase Cost
244,ALUMINIUM JOINT. FLANGE 20MM (KS),PI-ALU-JFL-20KS-X188,MTR,Length (5 MTR),Accessory ,,2.48
245,CNC BLADE KINGSPAN,PI-CNC-BLADE-KING-2-X189,NOS,NOS,Accessory ,,127.44
246,PVC BUSH WITH HOLE,PI-PVC-BUSH-X190,NOS,NOS,Accessory ,,0.16
247,STUCK UP PIN LOCK,PI-STUCK-PIN-LOCK-X191,NOS,NOS,Accessory ,,0.04
248,ALUMINIUM CH. FLANGE 20MM,PI-ALU-CHFL-20-X192,MTR,Length (5 MTR),Accessory ,,2.29
249,"ALUMINIUM TAP 3"" (AL ANSAF)",PI-ALU-T3-ANS-BX-X193,BOX,BOX(18 NOS),Accessory ,,47.55
250,"ALUMINIUM TAP 3"" (AL ANSAF)",PI-ALU-T3-ANS-BX-X194,BOX,BOX(18 NOS),Accessory ,,47.68
251,MEASURING TAPE,PI-MEAS-TAPE-X195,NOS,NOS,Tool ,,3.99
252,MEASURING TAPE,PI-MEAS-TAPE-X196,NOS,NOS,Tool ,,3.95
253,GI CORNER 20MM,PI-GI-CR-20-X197,NOS,BOX (200 NOS),Accessory ,,0.07
254,PAL PHENOLIC SHEET UL 181 20M,PI-PH-UL181-20M-PAL-X198,SQM,SQM,Raw-Material,,28.51
255,PVC CORNER 20MM,PI-PVC-CR-20-X199,NOS,BOX (200 NOS),Accessory ,,0.09
256,PROFILE GLUE,PI-PROFILE-GLUE-X200,NOS,NOS,Accessory ,,18.82
257,"ALUMINIUM TAP 3"" (AL ANSAF)",PI-ALU-T3-ANS-BX-X201,BOX,BOX(18 NOS),Accessory ,,47.52
258,"ALUMINIUM TAPE 2""",PI-ALU-TAPE-2-BX-X202,BOX,BOX(24 NOS),Accessory ,,43.03
259,HANDLE SQUARE,PI-HANDLE-SQ-X203,NOS,NOS,Accessory ,,1.64
260,GLUE KINGSPAN (15 litre DRUM),PI-GLUE-KING-X204,DRUM,DRUM(15 LITRE),Accessory ,,149.75
261,ALUMINIUM U. FLANGE 20MM,PI-ALU-UFL-20-X205,MTR,Length (5 MTR),Accessory ,,1.74
262,"ALUMINIUM TAP 3"" (GERGAWI)",PI-ALU-T3-GER-BX-X206,BOX,BOX(18 NOS),Accessory ,,42.64
263,STUCK UP PIN (ANSAF),PI-STUCK-PIN-ANS-X207,BOX,BOX(400 PCS),Accessory ,,87.18
264,PVC CORNER 30MM,PI-PVC-CR-30-X208,NOS,BOX (200 NOS),Accessory ,,0.94
265,CROSS FIX DEVICE FOR REIN BAR,PI-CROSS-FIX-X209,NOS,NOS,Accessory ,,1.22
266,ALUMINIUM JOINT. FLANGE 20MM,PI-ALU-JFL-20-X210,MTR,Length (5 MTR),Accessory ,,2.74
267,HANDLE SQUARE,PI-HANDLE-SQ-X211,NOS,NOS,Accessory ,,1.65
268,ALUMINIUM CH. FLANGE 20MM,PI-ALU-CHFL-20-X212,MTR,Length (5 MTR),Accessory ,,2.24
269,PVC FLANGE 20MM,PI-PVC-FL-20-X213,MTR,Length (5 MTR),Accessory ,,0.94
270,"ALUMINIUM TAP 3"" (GERGAWI)",PI-ALU-T3-GER-BX-X214,BOX,BOX(18 NOS),Accessory ,,43.52
271,PVC H BAYONET,PI-PVC-HBAY-X215,MTR,Length (5 MTR),Accessory ,,0.56
272,VCD BLADE 200 MM,PI-VCD-200-MTR-X216,MTR,MTR(LENGTH 6 MTR),Accessory ,,28.79
273,GLUE KINGSPAN (15 litre DRUM),PI-GLUE-KING-X217,DRUM,DRUM(15 LITRE),Accessory ,,147.87
274,CUTTING KNIFE,PI-CUT-KNIFE-X218,NOS,NOS,Tool,,5.04
275,CNC BLADE KINGSPAN,PI-CNC-BLADE-KING-2-X219,NOS,NOS,Accessory ,,124.7
276,MEASURING TAPE,PI-MEAS-TAPE-X220,NOS,NOS,Tool ,,4.07
277,UL TAPE 60 YARD - SHUR,PI-ULT-60-SHUR-X221,NOS,NOS,Accessory ,,46.83
278,SEALANT (DR FIX PIDILITE) WHITE,PI-SEAL-DRFIX-W-X222,BOX,BOX(24 NOS),Accessory ,,37.28
279,RIVIT 4.8 X 30,PI-RIVIT-4.8X30-X223,BOX,BOX (400 PCS),Accessory ,,18.16
280,PI ALPHA UL181 20MM,PI-PH-ALPHA-UL181-20-X224,SQM,SQM,Raw-Material ,,26.51
281,PI ALPHA UL181 20MM,PI-PH-ALPHA-UL181-20-X225,SQM,SQM,Raw-Material ,,25.97
282,UL TAPE 60 YARD - SHUR,PI-ULT-60-SHUR-X226,NOS,NOS,Accessory ,,47.85
283,CROSS FIX DEVICE FOR REIN BAR,PI-CROSS-FIX-X227,NOS,NOS,Accessory ,,1.18
284,STUCK UP PIN (ANSAF),PI-STUCK-PIN-ANS-X228,BOX,BOX(400 PCS),Accessory ,,86.99
285,Z LINK,PI-Z-LINK-X229,NOS,NOS,Accessory ,,1.64
286,Z LINK,PI-Z-LINK-X230,NOS,NOS,Accessory ,,1.64
287,STUCK UP PIN (ANSAF),PI-STUCK-PIN-ANS-X231,BOX,BOX(400 PCS),Accessory ,,89.41
288,PVC CORNER 20MM PAL,PI-PVC-CR-20PAL-X232,NOS,BOX (200 NOS),Accessory ,,0.15
289,HANDLE SQUARE,PI-HANDLE-SQ-X233,NOS,NOS,Accessory ,,1.65
290,ALUMINIUM JOINT. FLANGE 20MM (KS),PI-ALU-JFL-20KS-X234,MTR,Length (5 MTR),Accessory ,,2.52
291,ALUMINIUM JOINT. FLANGE 20MM,PI-ALU-JFL-20-X235,MTR,Length (5 MTR),Accessory ,,2.76
292,Z LINK,PI-Z-LINK-X236,NOS,NOS,Accessory ,,1.67
293,VCD BLADE 200 MM,PI-VCD-200-MTR-X237,MTR,MTR(LENGTH 6 MTR),Accessory ,,28.55
294,Z LINK,PI-Z-LINK-X238,NOS,NOS,Accessory ,,1.65
295,ALU RIVET 4X25 BOX,PI-ALU-RIVET-4X25-X239,BOX,BOX(400 PCS),Accessory ,,18.22
296,SEALANT (STAR ADHESIV) WHITE,PI-SEAL-STAR-W-X240,BOX,BOX(24 NOS),Accessory ,,41.45
297,Z LINK,PI-Z-LINK-X241,NOS,NOS,Accessory ,,1.67
298,ALUMINIUM JOINT. FLANGE 20MM (KS),PI-ALU-JFL-20KS-X242,MTR,Length (5 MTR),Accessory ,,2.55
299,ALUMINIUM JOINT. FLANGE 20MM (KS),PI-ALU-JFL-20KS-X243,MTR,Length (5 MTR),Accessory ,,2.45
300,"ALUMINIUM TAP 3"" (AL ANSAF)",PI-ALU-T3-ANS-BX-X244,BOX,BOX(18 NOS),Accessory ,,46.26
301,RIVIT 4.8 X 30,PI-RIVIT-4.8X30-X245,BOX,BOX (400 PCS),Accessory ,,17.75
302,UL TAPE 60 YARD - MEIYUAN,PI-ULT-60-MEI-X246,NOS,NOS,Accessory ,,50.16
303,VCD BLADE 200 MM,PI-VCD-200-MTR-X247,MTR,MTR(LENGTH 6 MTR),Accessory ,,28.92
304,PI ALPHA UL181 20MM,PI-PH-ALPHA-UL181-20-X248,SQM,SQM,Raw-Material ,,25.55
305,GLUE KINGSPAN (15 litre DRUM),PI-GLUE-KING-X249,DRUM,DRUM(15 LITRE),Accessory ,,148.68
306,ALUMINIUM U. FLANGE 20MM,PI-ALU-UFL-20-X250,MTR,Length (5 MTR),Accessory ,,1.74
307,SEALANT PAL,PI-SEAL-PAL-X251,BOX,BOX(24 NOS),Accessory ,,70.02
308,ALUMINIUM JOINT. FLANGE 20MM (KS),PI-ALU-JFL-20KS-X252,MTR,Length (5 MTR),Accessory ,,2.53
309,STUCK UP PIN LOCK,PI-STUCK-PIN-LOCK-X253,NOS,NOS,Accessory ,,0.04
310,MEASURING TAPE,PI-MEAS-TAPE-X254,NOS,NOS,Tool ,,4.05
311,"ALUMINIUM TAPE 2""-ASMACO",PI-ALU-T2-ASM-BX-X255,BOX,BOX(24 NOS),Accessory ,,60.1
312,PI ALPHA UL181 20MM,PI-PH-ALPHA-UL181-20-X256,SQM,SQM,Raw-Material ,,25.85
313,ALUMINIUM CH. FLANGE 20MM,PI-ALU-CHFL-20-X257,MTR,Length (5 MTR),Accessory ,,2.28
314,PI ALPHA UL181 20MM,PI-PH-ALPHA-UL181-20-X258,SQM,SQM,Raw-Material ,,25.67
315,PROFILE GLUE,PI-PROFILE-GLUE-X259,NOS,NOS,Accessory ,,19.3
316,ALUMINIUM U FLANGE 20MM (KS),PI-ALU-UFL-20KS-X260,MTR,Length (5 MTR),Accessory ,,1.81
317,PROFILE GLUE,PI-PROFILE-GLUE-X261,NOS,NOS,Accessory ,,19.34
318,PVC CORNER 20MM,PI-PVC-CR-20-X262,NOS,BOX (200 NOS),Accessory ,,0.09
319,ALU RIVET 4X25 BOX,PI-ALU-RIVET-4X25-X263,BOX,BOX(400 PCS),Accessory ,,17.81
320,SEALANT (STAR ADHESIV) WHITE,PI-SEAL-STAR-W-X264,BOX,BOX(24 NOS),Accessory ,,40.93
321,CAM LOCK,PI-CAM-LOCK-X265,NOS,NOS,Accessory ,,0.89
322,UL TAPE 60 YARD - SHUR,PI-ULT-60-SHUR-X266,NOS,NOS,Accessory ,,46.13
323,ALUMINIUM CH. FLANGE 20MM (KS),PI-ALU-CHFL-20KS-X267,MTR,Length (5 MTR),Accessory ,,2.19
324,STUCK UP PIN (ANSAF),PI-STUCK-PIN-ANS-X268,BOX,BOX(400 PCS),Accessory ,,88.88
325,GLUE STAR (15 LITRE),PI-GLUE-STAR-X269,DRUM,DRUM(15 LITRE),Accessory ,,96.99
326,ALUMINIUM CH. FLANGE 20MM,PI-ALU-CHFL-20-X270,MTR,Length (5 MTR),Accessory ,,2.23
327,UL TAPE 30 YARD - IDEAL,PI-ULT-30-IDEAL-X271,NOS,NOS,Accessory ,,32.57
328,PVC CORNER 20MM,PI-PVC-CR-20-X272,NOS,BOX (200 NOS),Accessory ,,0.09
329,SPINDEL 12X125,PI-SPINDEL-12X125-X273,NOS,NOS,Accessory ,,1.18
330,SEALANT (DR FIX PIDILITE) GRAY,PI-SEAL-DRFIX-G-X274,BOX,BOX(24 NOS),Accessory ,,38.31
331,GLUE KINGSPAN (15 litre DRUM),PI-GLUE-KING-X275,DRUM,DRUM(15 LITRE),Accessory ,,147.41
332,PVC H BAYONET,PI-PVC-HBAY-X276,MTR,Length (5 MTR),Accessory ,,0.56
333,ALUMINIUM CH. FLANGE 20MM,PI-ALU-CHFL-20-X277,MTR,Length (5 MTR),Accessory ,,2.23
334,SEALANT (DR FIX PIDILITE) GRAY,PI-SEAL-DRFIX-G-X278,BOX,BOX(24 NOS),Accessory ,,37.44
335,SPECIALITE PHENOLIC SHEET UL 181 20M (KHAN),PI-PH-UL181-20M-SP-X279,SQM,SQM,Raw-Material,,24.26
336,ALUMINIUM JOINT. FLANGE 20MM,PI-ALU-JFL-20-X280,MTR,Length (5 MTR),Accessory ,,2.74
337,GI CORNER 20MM,PI-GI-CR-20-X281,NOS,BOX (200 NOS),Accessory ,,0.07
338,VCD BLADE 150 MM,PI-VCD-150-MTR-X282,MTR,MTR(LENGTH 6 MTR),Accessory ,,15.66
339,SEALANT PAL,PI-SEAL-PAL-X283,BOX,BOX(24 NOS),Accessory ,,68.62
340,"ALUMINIUM TAPE 2""-ASMACO",PI-ALU-T2-ASM-BX-X284,BOX,BOX(24 NOS),Accessory ,,59.19
341,ALUMINIUM JOINT. FLANGE 20MM,PI-ALU-JFL-20-X285,MTR,Length (5 MTR),Accessory ,,2.71
342,SEALANT PAL,PI-SEAL-PAL-X286,BOX,BOX(24 NOS),Accessory ,,69.11
343,GI CORNER 20MM,PI-GI-CR-20-X287,NOS,BOX (200 NOS),Accessory ,,0.07
344,PI ALPHA UL181 20MM,PI-PH-ALPHA-UL181-20-X288,SQM,SQM,Raw-Material ,,25.56
345,ALUMINIUM F. FLANGE 20MM,PI-ALU-FFL-20-X289,MTR,Length (5 MTR),Accessory ,,2.33
346,STUCK UP PIN (ANSAF),PI-STUCK-PIN-ANS-X290,BOX,BOX(400 PCS),Accessory ,,88.61
347,CROSS FIX DEVICE FOR REIN BAR,PI-CROSS-FIX-X291,NOS,NOS,Accessory ,,1.2
348,GLUE KINGSPAN (15 litre DRUM),PI-GLUE-KING-X292,DRUM,DRUM(15 LITRE),Accessory ,,152.39
349,BG PLATE WITH HOLE,PI-BG-PLATE-X293,NOS,NOS,Accessory ,,0.3
350,HANDLE SQUARE,PI-HANDLE-SQ-X294,NOS,NOS,Accessory ,,1.66
351,SEALANT (STAR ADHESIV) GRAY,PI-SEAL-STAR-G-X295,BOX,BOX(24 NOS),Accessory ,,41.35
352,BG PLATE WITH HOLE,PI-BG-PLATE-X296,NOS,NOS,Accessory ,,0.3
353,ALUMINIUM U. FLANGE 20MM,PI-ALU-UFL-20-X297,MTR,Length (5 MTR),Accessory ,,1.74
354,PVC CORNER 20MM,PI-PVC-CR-20-X298,NOS,BOX (200 NOS),Accessory ,,0.09
355,"ALUMINIUM TAP 3"" (AL ANSAF)",PI-ALU-T3-ANS-BX-X299,BOX,BOX(18 NOS),Accessory ,,46.75
356,"ALUMINIUM TAPE 2""",PI-ALU-TAPE-2-BX-X300,BOX,BOX(24 NOS),Accessory ,,43.39
357,SIDE LINK,PI-SIDE-LINK-X301,NOS,NOS,Accessory ,,0.74
358,UL TAPE 60 YARD - MEIYUAN,PI-ULT-60-MEI-X302,NOS,NOS,Accessory ,,50.11
359,PAL PHENOLIC SHEET UL 181 20M (INNOVA),PI-PH-UL181-20M-INN-X303,SQM,SQM,Raw-Material,,26.54
360,PAL PHENOLIC SHEET UL 181 20M,PI-PH-UL181-20M-PAL-X304,SQM,SQM,Raw-Material,,28.92
361,CNC BLADE KINGSPAN,PI-CNC-BLADE-KING-2-X305,NOS,NOS,Accessory ,,124.27
362,VCD BLADE 100 MM,PI-VCD-100-MTR-X306,MTR,MTR(LENGTH 6 MTR),Accessory ,,11.35
363,ALUMINIUM F. FLANGE 20MM,PI-ALU-FFL-20-X307,MTR,Length (5 MTR),Accessory ,,2.29
364,SEALANT (DR FIX PIDILITE) GRAY,PI-SEAL-DRFIX-G-X308,BOX,BOX(24 NOS),Accessory ,,38.42
365,"ALUMINIUM TAPE 2""-ASMACO",PI-ALU-T2-ASM-BX-X309,BOX,BOX(24 NOS),Accessory ,,59.17
366,SPINDEL 12X125,PI-SPINDEL-12X125-X310,NOS,NOS,Accessory ,,1.21
367,STUCK UP PIN (ANSAF),PI-STUCK-PIN-ANS-X311,BOX,BOX(400 PCS),Accessory ,,86.97
368,Z LINK,PI-Z-LINK-X312,NOS,NOS,Accessory ,,1.68
369,ALUMINIUM JOINT. FLANGE 20MM (KS),PI-ALU-JFL-20KS-X313,MTR,Length (5 MTR),Accessory ,,2.49
370,ALUMINIUM U. FLANGE 20MM,PI-ALU-UFL-20-X314,MTR,Length (5 MTR),Accessory ,,1.74
371,SPINDEL 12X125,PI-SPINDEL-12X125-X315,NOS,NOS,Accessory ,,1.22
372,PVC CORNER 20MM PAL,PI-PVC-CR-20PAL-X316,NOS,BOX (200 NOS),Accessory ,,0.15
373,ALUMINIUM CH. FLANGE 20MM (KS),PI-ALU-CHFL-20KS-X317,MTR,Length (5 MTR),Accessory ,,2.24
374,VCD BLADE 200 MM,PI-VCD-200-MTR-X318,MTR,MTR(LENGTH 6 MTR),Accessory ,,29.5
375,PI ALPHA UL181 20MM,PI-PH-ALPHA-UL181-20-X319,SQM,SQM,Raw-Material ,,26.17
376,PROFILE GLUE,PI-PROFILE-GLUE-X320,NOS,NOS,Accessory ,,19.05
377,PVC H BAYONET,PI-PVC-HBAY-X321,MTR,Length (5 MTR),Accessory ,,0.55
378,CROSS FIX DEVICE FOR REIN BAR,PI-CROSS-FIX-X322,NOS,NOS,Accessory ,,1.18
379,VCD BLADE 100 MM,PI-VCD-100-MTR-X323,MTR,MTR(LENGTH 6 MTR),Accessory ,,11.14
380,SEALANT PAL,PI-SEAL-PAL-X324,BOX,BOX(24 NOS),Accessory ,,70.53
381,SPINDEL 12X125,PI-SPINDEL-12X125-X325,NOS,NOS,Accessory ,,1.22
382,SEALANT (DR FIX PIDILITE) GRAY,PI-SEAL-DRFIX-G-X326,BOX,BOX(24 NOS),Accessory ,,38.02
383,ALUMINIUM JOINT. FLANGE 20MM,PI-ALU-JFL-20-X327,MTR,Length (5 MTR),Accessory ,,2.7
384,GI CORNER 20MM,PI-GI-CR-20-X328,NOS,BOX (200 NOS),Accessory ,,0.07
385,UL TAPE 60 YARD - SHUR,PI-ULT-60-SHUR-X329,NOS,NOS,Accessory ,,47.62
386,RIVIT 4.8 X 30,PI-RIVIT-4.8X30-X330,BOX,BOX (400 PCS),Accessory ,,17.88
387,ALU RIVET 4X25 BOX,PI-ALU-RIVET-4X25-X331,BOX,BOX(400 PCS),Accessory ,,18.13
388,GLUE KINGSPAN (15 litre DRUM),PI-GLUE-KING-X332,DRUM,DRUM(15 LITRE),Accessory ,,147.85
389,UL TAPE 60 YARD - SHUR,PI-ULT-60-SHUR-X333,NOS,NOS,Accessory ,,46.37
390,STUCK UP PIN (ANSAF),PI-STUCK-PIN-ANS-X334,BOX,BOX(400 PCS),Accessory ,,88.74
391,PVC CORNER 20MM,PI-PVC-CR-20-X335,NOS,BOX (200 NOS),Accessory ,,0.09
392,Z LINK,PI-Z-LINK-X336,NOS,NOS,Accessory ,,1.66
393,PVC FLANGE 20MM,PI-PVC-FL-20-X337,MTR,Length (5 MTR),Accessory ,,0.95
394,VCD BLADE 150 MM,PI-VCD-150-MTR-X338,MTR,MTR(LENGTH 6 MTR),Accessory ,,15.94
395,CAM LOCK,PI-CAM-LOCK-X339,NOS,NOS,Accessory ,,0.91
396,BG PLATE WITH HOLE,PI-BG-PLATE-X340,NOS,NOS,Accessory ,,0.3
397,GI CORNER 20MM,PI-GI-CR-20-X341,NOS,BOX (200 NOS),Accessory ,,0.07
398,VCD BLADE 100 MM,PI-VCD-100-MTR-X342,MTR,MTR(LENGTH 6 MTR),Accessory ,,11.55
399,SPINDEL 12X125,PI-SPINDEL-12X125-X343,NOS,NOS,Accessory ,,1.22
400,"ALUMINIUM TAPE 2""",PI-ALU-TAPE-2-BX-X344,BOX,BOX(24 NOS),Accessory ,,42.8
401,VCD BLADE 100 MM,PI-VCD-100-MTR-X345,MTR,MTR(LENGTH 6 MTR),Accessory ,,11.14
402,"ALUMINIUM TAPE 2""",PI-ALU-TAPE-2-BX-X346,BOX,BOX(24 NOS),Accessory ,,42.96
403,SPECIALITE PHENOLIC SHEET UL 181 20M (KHAN),PI-PH-UL181-20M-SP-X347,SQM,SQM,Raw-Material,,23.84
404,SEALANT (STAR ADHESIV) GRAY,PI-SEAL-STAR-G-X348,BOX,BOX(24 NOS),Accessory ,,40.54
405,PVC BUSH WITH OUT HOLE,PI-PVC-BUSH-NH-X349,NOS,NOS,Accessory ,,0.16
406,SEALANT (STAR ADHESIV) GRAY,PI-SEAL-STAR-G-X350,BOX,BOX(24 NOS),Accessory ,,40.91
407,ALUMINIUM JOINT. FLANGE 20MM (KS),PI-ALU-JFL-20KS-X351,MTR,Length (5 MTR),Accessory ,,2.48
408,RIVIT 4.8 X 30,PI-RIVIT-4.8X30-X352,BOX,BOX (400 PCS),Accessory ,,17.97
409,VCD BLADE 100 MM,PI-VCD-100-MTR-X353,MTR,MTR(LENGTH 6 MTR),Accessory ,,11.46
410,SEALANT (DR FIX PIDILITE) GRAY,PI-SEAL-DRFIX-G-X354,BOX,BOX(24 NOS),Accessory ,,37.73
411,CROSS FIX DEVICE FOR REIN BAR,PI-CROSS-FIX-X355,NOS,NOS,Accessory ,,1.18
412,VCD BLADE 150 MM,PI-VCD-150-MTR-X356,MTR,MTR(LENGTH 6 MTR),Accessory ,,15.87
413,GLUE KINGSPAN (15 litre DRUM),PI-GLUE-KING-X357,DRUM,DRUM(15 LITRE),Accessory ,,149.94
414,ALUMINIUM U FLANGE 20MM (KS),PI-ALU-UFL-20KS-X358,MTR,Length (5 MTR),Accessory ,,1.78
415,GLUE KINGSPAN (15 litre DRUM),PI-GLUE-KING-X359,DRUM,DRUM(15 LITRE),Accessory ,,152.57
416,SEALANT GUN,PI-SEAL-GUN-X360,NOS,NOS,Tool,,15.14
417,GI CORNER 20MM-PAL,PI-GI-CR-20PAL-X361,NOS,BOX (200 NOS),Accessory ,,0.12
418,SPINDEL 12X125,PI-SPINDEL-12X125-X362,NOS,NOS,Accessory ,,1.19
419,GI CORNER 20MM,PI-GI-CR-20-X363,NOS,BOX (200 NOS),Accessory ,,0.07
420,ALU RIVET 4X25 BOX,PI-ALU-RIVET-4X25-X364,BOX,BOX(400 PCS),Accessory ,,17.85
421,PVC FLANGE 20MM,PI-PVC-FL-20-X365,MTR,Length (5 MTR),Accessory ,,0.96
422,ALUMINIUM F. FLANGE 20MM,PI-ALU-FFL-20-X366,MTR,Length (5 MTR),Accessory ,,2.26
423,ALUMINIUM JOINT. FLANGE 20MM,PI-ALU-JFL-20-X367,MTR,Length (5 MTR),Accessory ,,2.74
424,SEALANT (STAR ADHESIV) WHITE,PI-SEAL-STAR-W-X368,BOX,BOX(24 NOS),Accessory ,,41.15
425,GLUE KINGSPAN (15 litre DRUM),PI-GLUE-KING-X369,DRUM,DRUM(15 LITRE),Accessory ,,151.44
426,SPINDEL 12X125,PI-SPINDEL-12X125-X370,NOS,NOS,Accessory ,,1.21
427,PVC CORNER 20MM PAL,PI-PVC-CR-20PAL-X371,NOS,BOX (200 NOS),Accessory ,,0.15
428,CUTTING KNIFE,PI-CUT-KNIFE-X372,NOS,NOS,Tool,,4.97
429,UL TAPE 30 YARD - IDEAL,PI-ULT-30-IDEAL-X373,NOS,NOS,Accessory ,,31.56
430,PROFILE GLUE,PI-PROFILE-GLUE-X374,NOS,NOS,Accessory ,,19.17
431,UL TAPE 30 YARD - IDEAL,PI-ULT-30-IDEAL-X375,NOS,NOS,Accessory ,,31.7
432,PVC BUSH WITH OUT HOLE,PI-PVC-BUSH-NH-X376,NOS,NOS,Accessory ,,0.16
433,PAL PHENOLIC SHEET UL 181 20M,PI-PH-UL181-20M-PAL-X377,SQM,SQM,Raw-Material,,29.46
434,CAM LOCK,PI-CAM-LOCK-X378,NOS,NOS,Accessory ,,0.88
435,CAM LOCK,PI-CAM-LOCK-X379,NOS,NOS,Accessory ,,0.91
436,PVC BUSH WITH HOLE,PI-PVC-BUSH-X380,NOS,NOS,Accessory ,,0.16
437,CUTTING KNIFE,PI-CUT-KNIFE-X381,NOS,NOS,Tool,,5.03
438,RIVIT 4.8 X 30,PI-RIVIT-4.8X30-X382,BOX,BOX (400 PCS),Accessory ,,17.93
439,PVC FLANGE 20MM,PI-PVC-FL-20-X383,MTR,Length (5 MTR),Accessory ,,0.95
440,"ALUMINIUM TAP 3"" (GERGAWI)",PI-ALU-T3-GER-BX-X384,BOX,BOX(18 NOS),Accessory ,,43.98
441,"ALUMINIUM TAP 3"" (GERGAWI)",PI-ALU-T3-GER-BX-X385,BOX,BOX(18 NOS),Accessory ,,42.5
442,GLUE STAR (15 LITRE),PI-GLUE-STAR-X386,DRUM,DRUM(15 LITRE),Accessory ,,93.85
443,GI CORNER 20MM-PAL,PI-GI-CR-20PAL-X387,NOS,BOX (200 NOS),Accessory ,,0.12
444,PAL PHENOLIC SHEET UL 181 20M,PI-PH-UL181-20M-PAL-X388,SQM,SQM,Raw-Material,,28.54
445,GLUE KINGSPAN (15 litre DRUM),PI-GLUE-KING-X389,DRUM,DRUM(15 LITRE),Accessory ,,152.51
446,"ALUMINIUM TAP 3"" (AL ANSAF)",PI-ALU-T3-ANS-BX-X390,BOX,BOX(18 NOS),Accessory ,,47.54
447,SPINDEL 12X75,PI-SPINDEL-12X75-X391,NOS,NOS,Accessory ,,0.74
448,GLUE KINGSPAN (15 litre DRUM),PI-GLUE-KING-X392,DRUM,DRUM(15 LITRE),Accessory ,,149.24
449,ALUMINIUM CH. FLANGE 20MM (KS),PI-ALU-CHFL-20KS-X393,MTR,Length (5 MTR),Accessory ,,2.19
450,SPINDEL 12X125,PI-SPINDEL-12X125-X394,NOS,NOS,Accessory ,,1.22
451,SEALANT PAL,PI-SEAL-PAL-X395,BOX,BOX(24 NOS),Accessory ,,69.52
452,ALUMINIUM U FLANGE 20MM (KS),PI-ALU-UFL-20KS-X396,MTR,Length (5 MTR),Accessory ,,1.8
453,VCD BLADE 100 MM,PI-VCD-100-MTR-X397,MTR,MTR(LENGTH 6 MTR),Accessory ,,11.34
454,Z LINK,PI-Z-LINK-X398,NOS,NOS,Accessory ,,1.67
455,SEALANT (STAR ADHESIV) WHITE,PI-SEAL-STAR-W-X399,BOX,BOX(24 NOS),Accessory ,,41.6
456,MEASURING TAPE,PI-MEAS-TAPE-X400,NOS,NOS,Tool ,,4.03
457,"ALUMINIUM TAP 3"" (AL ANSAF)",PI-ALU-T3-ANS-BX-X401,BOX,BOX(18 NOS),Accessory ,,46.74
458,PAL PHENOLIC SHEET UL 181 20M,PI-PH-UL181-20M-PAL-X402,SQM,SQM,Raw-Material,,28.69
459,SPECIALITE PHENOLIC SHEET UL 181 20M (KHAN),PI-PH-UL181-20M-SP-X403,SQM,SQM,Raw-Material,,23.9
460,PVC BUSH WITH OUT HOLE,PI-PVC-BUSH-NH-X404,NOS,NOS,Accessory ,,0.16
461,STUCK UP PIN LOCK,PI-STUCK-PIN-LOCK-X405,NOS,NOS,Accessory ,,0.04
462,ALUMINIUM CH. FLANGE 20MM,PI-ALU-CHFL-20-X406,MTR,Length (5 MTR),Accessory ,,2.29
463,VCD BLADE 100 MM,PI-VCD-100-MTR-X407,MTR,MTR(LENGTH 6 MTR),Accessory ,,11.5
464,CROSS FIX DEVICE FOR REIN BAR,PI-CROSS-FIX-X408,NOS,NOS,Accessory ,,1.21
465,VCD BLADE 200 MM,PI-VCD-200-MTR-X409,MTR,MTR(LENGTH 6 MTR),Accessory ,,29.46
466,UL TAPE 60 YARD - SHUR,PI-ULT-60-SHUR-X410,NOS,NOS,Accessory ,,47.37
467,SPECIALITE PHENOLIC SHEET UL 181 20M (KHAN),PI-PH-UL181-20M-SP-X411,SQM,SQM,Raw-Material,,24.43
468,Z LINK,PI-Z-LINK-X412,NOS,NOS,Accessory ,,1.65
469,PVC BUSH WITH OUT HOLE,PI-PVC-BUSH-NH-X413,NOS,NOS,Accessory ,,0.16
470,STUCK UP PIN LOCK,PI-STUCK-PIN-LOCK-X414,NOS,NOS,Accessory ,,0.04
471,PAL PHENOLIC SHEET UL 181 20M (INNOVA),PI-PH-UL181-20M-INN-X415,SQM,SQM,Raw-Material,,26.98
472,VCD BLADE 100 MM,PI-VCD-100-MTR-X416,MTR,MTR(LENGTH 6 MTR),Accessory ,,11.12
473,GLUE KINGSPAN (15 litre DRUM),PI-GLUE-KING-X417,DRUM,DRUM(15 LITRE),Accessory ,,150.73
474,STUCK UP PIN (ANSAF),PI-STUCK-PIN-ANS-X418,BOX,BOX(400 PCS),Accessory ,,87.31
475,GI CORNER 20MM-PAL,PI-GI-CR-20PAL-X419,NOS,BOX (200 NOS),Accessory ,,0.12
476,PI ALPHA UL181 20MM,PI-PH-ALPHA-UL181-20-X420,SQM,SQM,Raw-Material ,,26.43
477,UL TAPE 60 YARD - MEIYUAN,PI-ULT-60-MEI-X421,NOS,NOS,Accessory ,,49.67
478,GLUE KINGSPAN (15 litre DRUM),PI-GLUE-KING-X422,DRUM,DRUM(15 LITRE),Accessory ,,150.75
479,ALUMINIUM JOINT. FLANGE 20MM,PI-ALU-JFL-20-X423,MTR,Length (5 MTR),Accessory ,,2.74
